,year,district,DBN,School Name,average_score_SAT_math,average_score_SAT_reading,%_students_SAT_math_college_ready,%_students_SAT_reading_college_ready,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,%_ELL,%_disability,%_self_contained,economic_need_index,%_temp_housing,%_HRA_eligible,%_asian,%_black,%_hispanic,%_white,student_attendance_rate,%_chronically_absent,asian_count,white_count,black_count,hispanic_count,homeless_count,sat_math_college_ready_count,sat_reading_college_ready_count,sat_score,%_non_white
51,2019,2,02M520,Murry Bergtraum High School for Business Careers,433.0,432.2,0.111,0.175,182,2.67,2.37,0.06,0.23600000000000002,0.005,0.81,0.11,0.7090000000000001,0.044000000000000004,0.511,0.41200000000000003,0.016,0.782,0.56,8.008000000000001,2.912,93.002,74.98400000000001,20.02,20.202,31.849999999999998,865.2,92.3
52,2019,2,02M529,Jacqueline Kennedy Onassis High School,458.6,461.5,0.153,0.293,443,2.68,2.42,0.09,0.201,0.023,0.79,0.131,0.695,0.061,0.242,0.652,0.034,0.785,0.64,27.023,15.062000000000001,107.206,288.836,58.033,67.779,129.79899999999998,920.1,89.4
53,2019,2,02M531,Repertory Company High School for Theatre Arts,485.3,516.3,0.28800000000000003,0.695,237,3.33,3.13,0.004,0.16899999999999998,,0.56,0.051,0.418,0.008,0.325,0.46,0.18100000000000002,0.91,0.311,1.8960000000000001,42.897000000000006,77.025,109.02000000000001,12.087,68.25600000000001,164.71499999999997,1001.5999999999999,78.5
54,2019,2,02M533,Union Square Academy for Health Sciences,472.3,474.9,0.191,0.415,414,2.82,2.69,0.075,0.152,0.002,0.83,0.10400000000000001,0.742,0.114,0.205,0.611,0.065,0.878,0.391,47.196000000000005,26.91,84.86999999999999,252.954,43.056000000000004,79.074,171.81,947.2,81.60000000000001
55,2019,2,02M534,Harvest Collegiate High School,481.7,509.5,0.27399999999999997,0.585,457,3.06,2.8,0.024,0.252,0.009000000000000001,0.64,0.07200000000000001,0.514,0.066,0.21,0.495,0.188,0.861,0.382,30.162000000000003,85.916,95.97,226.215,32.904,125.21799999999999,267.34499999999997,991.2,70.5
56,2019,2,02M542,Manhattan Bridges High School,480.9,444.6,0.245,0.302,532,2.43,2.67,0.46399999999999997,0.073,0.006,0.91,0.28,0.7759999999999999,0.002,0.004,0.9890000000000001,0.002,0.9059999999999999,0.294,1.064,1.064,2.128,526.148,148.96,130.34,160.664,925.5,99.30000000000001
57,2019,2,02M543,New Design High School,430.0,449.0,0.035,0.256,426,2.66,2.36,0.054000000000000006,0.263,0.012,0.83,0.129,0.732,0.049,0.345,0.5770000000000001,0.013999999999999999,0.8270000000000001,0.532,20.874000000000002,5.9639999999999995,146.97,245.80200000000002,54.954,14.910000000000002,109.056,879.0,92.20000000000002
58,2019,2,02M545,High School for Dual Language and Asian Studies,657.2,569.3,0.955,0.8640000000000001,402,3.27,4.0,0.134,0.032,,0.78,0.162,0.677,0.91,0.022000000000000002,0.035,0.022000000000000002,0.985,0.015,365.82,8.844000000000001,8.844000000000001,14.070000000000002,65.124,383.90999999999997,347.32800000000003,1226.5,5.7
59,2019,2,02M546,Academy for Software Engineering,522.0,527.0,0.47200000000000003,0.698,459,3.01,2.97,0.040999999999999995,0.259,0.002,0.68,0.063,0.5489999999999999,0.102,0.207,0.5660000000000001,0.109,0.893,0.291,46.818,50.031,95.01299999999999,259.79400000000004,28.917,216.64800000000002,320.382,1049.0,77.30000000000001
60,2019,2,02M551,Urban Assembly New York Harbor School,479.4,497.3,0.287,0.5529999999999999,533,3.04,2.87,0.021,0.22899999999999998,0.002,0.54,0.068,0.428,0.075,0.17300000000000001,0.405,0.266,0.8909999999999999,0.31,39.975,141.77800000000002,92.209,215.865,36.244,152.97099999999998,294.74899999999997,976.7,57.800000000000004
61,2019,2,02M580,Richard R. Green High School of Teaching,462.4,473.4,0.157,0.38299999999999995,429,2.87,2.61,0.042,0.18899999999999997,,0.78,0.11900000000000001,0.655,0.063,0.289,0.599,0.033,0.9059999999999999,0.227,27.027,14.157,123.981,256.971,51.051,67.353,164.307,935.8,88.8
62,2019,2,02M600,The High School of Fashion Industries,466.6,493.0,0.195,0.545,1577,3.05,2.77,0.032,0.162,0.04,0.76,0.107,0.649,0.055,0.313,0.57,0.052000000000000005,0.9009999999999999,0.314,86.735,82.004,493.601,898.8899999999999,168.739,307.515,859.465,959.6,88.3
63,2019,2,02M605,Humanities Preparatory Academy,478.8,498.8,0.273,0.561,245,3.05,2.79,0.033,0.204,,0.74,0.2,0.5670000000000001,0.061,0.21600000000000003,0.62,0.073,0.836,0.421,14.945,17.884999999999998,52.92000000000001,151.9,49.0,66.885,137.44500000000002,977.6,83.60000000000001
64,2019,2,02M615,Chelsea Career and Technical Education High School,480.5,476.9,0.21600000000000003,0.41200000000000003,451,2.91,2.8,0.04,0.195,0.004,0.79,0.102,0.701,0.135,0.215,0.616,0.027000000000000003,0.852,0.459,60.885000000000005,12.177000000000001,96.965,277.816,46.001999999999995,97.41600000000001,185.812,957.4,83.09999999999998
65,2019,2,02M630,Art and Design High School,502.1,520.2,0.355,0.688,1478,3.35,3.15,0.008,0.212,0.013000000000000001,0.57,0.068,0.444,0.085,0.14800000000000002,0.539,0.17300000000000001,0.894,0.295,125.63000000000001,255.69400000000002,218.74400000000003,796.642,100.504,524.6899999999999,1016.8639999999999,1022.3000000000001,68.7
66,2019,2,02M655,Life Sciences Secondary School,437.8,458.8,0.10300000000000001,0.309,425,2.69,2.43,0.10400000000000001,0.21899999999999997,0.026000000000000002,0.86,0.16,0.76,0.073,0.256,0.624,0.038,0.775,0.626,31.025,16.15,108.8,265.2,68.0,43.775000000000006,131.325,896.6,88.0
67,2019,3,03M291,West End Secondary School,,,,,118,3.5,3.42,,0.195,,0.19,0.034,0.11,0.034,0.085,0.195,0.669,0.956,0.085,4.0120000000000005,78.94200000000001,10.030000000000001,23.01,4.0120000000000005,,,,28.000000000000004
68,2019,3,03M299,The Maxine Greene HS for Imaginative Inquiry,424.8,445.2,0.054000000000000006,0.252,341,2.72,2.42,0.129,0.252,0.028999999999999998,0.85,0.182,0.757,0.028999999999999998,0.37,0.531,0.040999999999999995,0.8109999999999999,0.571,9.889,13.980999999999998,126.17,181.071,62.062,18.414,85.932,870.0,90.1
