year,district,DBN,school_name,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,%_ELL,%_disability,%_self_contained,economic_need_index,%_temp_housing,%_HRA_eligible,%_asian,%_black,%_hispanic,%_white,student_attendance_rate,%_chronically_absent
2015,27,27Q324,Rockaway Park High School for Environmental Sustai,368,2.27,2.06,0.052,0.198,0.014,0.682,0.084,0.541,0.035,0.467,0.302,0.147,0.782,0.601
2015,27,27Q400,August Martin High School,679,2.19,2.03,0.068,0.214,0.010,0.581,0.113,0.433,0.075,0.754,0.130,0.015,0.789,0.593
2015,12,12X682,Fannie Lou Hamer Freedom High School,470,2.12,2.05,0.081,0.294,0.113,0.853,0.134,0.721,0.004,0.285,0.704,0.002,0.817,0.593
2015,12,12X271,East Bronx Academy for the Future,618,2.21,2.04,0.109,0.306,0.093,0.853,0.169,0.689,0.030,0.254,0.710,0.005,0.813,0.592
2015,04,04M409,Coalition School for Social Change,283,2.12,2.03,0.099,0.343,0.025,0.822,0.124,0.678,0.042,0.410,0.502,0.035,0.795,0.591
2015,32,32K556,Bushwick Leaders High School for Academic Excellen,317,2.08,2.00,0.196,0.240,0.006,0.822,0.177,0.669,0.009,0.167,0.814,0.003,0.824,0.590
2015,03,03M860,Frederick Douglass Academy II Secondary School,411,2.14,2.02,0.080,0.217,0.000,0.786,0.130,0.601,0.022,0.678,0.263,0.019,0.796,0.589
2015,16,16K594,Gotham Professional Arts Academy,226,2.30,2.11,0.018,0.235,0.009,0.768,0.199,0.580,0.009,0.819,0.146,0.013,0.777,0.585
2015,23,23K493,Brooklyn Collegiate: A College Board School,353,2.23,2.07,0.025,0.238,0.071,0.698,0.108,0.501,0.014,0.875,0.096,0.003,0.791,0.583
2015,02,02M425,Leadership and Public Service High School,699,2.33,2.18,0.067,0.203,0.043,0.751,0.089,0.597,0.039,0.279,0.619,0.044,0.792,0.583
2015,14,14K610,Automotive High School,383,2.14,2.10,0.070,0.292,0.094,0.706,0.076,0.569,0.016,0.559,0.381,0.029,0.805,0.578
2015,09,09X227,Bronx Collegiate Academy,382,2.09,2.01,0.272,0.230,0.081,0.833,0.168,0.673,0.010,0.285,0.691,0.003,0.801,0.576
2015,07,07X473,Mott Haven Village Preparatory High School,364,2.15,2.08,0.096,0.217,0.003,0.824,0.113,0.665,0.003,0.253,0.736,0.005,0.799,0.574
2015,07,07X670,Health Opportunities High School,554,2.18,2.12,0.078,0.193,0.081,0.834,0.117,0.688,0.031,0.361,0.579,0.018,0.790,0.571
2015,08,08X519,Felisa Rincon de Gautier Institute for Law and Pub,307,2.13,1.98,0.101,0.274,0.062,0.821,0.205,0.651,0.020,0.254,0.678,0.029,0.793,0.569
