year,district,DBN,school_name,average_score_SAT_math,average_score_SAT_reading,students_SAT_math_college_ready,students_SAT_reading_college_ready,enrollment,avg_grade_8_english_proficiency,avg_grade_8_math_proficiency,ELL,disability,self_contained,economic_need_index,temp_housing,HRA_eligible,asian,black,hispanic,white,student_attendance_rate,chronically_absent
2019,5,05M670,Thurgood Marshall Academy for Learning and Social,471.1,491.7,0.198,0.481,386,2.83,2.47,0.039,0.215,0.018,0.77,0.127,0.619,0.018,0.663,0.293,0.008,0.911,0.252
2019,5,05M692,"High School for Mathematics, Science and Engineeri",738.4,677.9,,,491,3.99,4.27,0.002,0.055,,0.4,0.035,0.269,0.297,0.086,0.167,0.301,0.952,0.122
2019,6,06M211,Inwood Early College for Health and Information Te,451.3,445.5,0.155,0.299,414,2.79,2.69,0.116,0.256,0.002,0.82,0.123,0.71,0.005,0.118,0.843,0.014,0.822,0.534
2019,6,06M293,City College Academy of the Arts,555.3,540.1,0.622,0.824,346,3.37,3.45,0.029,0.142,,0.78,0.084,0.671,0.017,0.049,0.89,0.035,0.936,0.185
2019,6,06M346,Community Health Academy of the Heights,463.9,474.1,0.186,0.392,435,2.83,2.55,0.179,0.166,0.002,0.91,0.163,0.802,0.009,0.057,0.915,0.016,0.817,0.511
2019,6,06M348,Washington Heights Expeditionary Learning School,482.8,482.7,0.292,0.483,381,2.9,2.88,0.094,0.189,0.013,0.86,0.147,0.761,0.005,0.045,0.942,0.003,0.892,0.307
2019,6,06M462,The College Academy,415.5,407.7,0.06,0.1,427,2.31,2.18,0.522,0.18,0.026,0.93,0.302,0.81,0.002,0.066,0.899,0.021,0.821,0.518
2019,6,06M463,High School for Media and Communications,399.9,396.5,0.056,0.079,396,2.46,2.14,0.497,0.177,0.003,0.93,0.331,0.818,0.008,0.093,0.876,0.013,0.899,0.221
2019,6,06M467,High School for Law and Public Service,429.2,436.2,0.043,0.171,481,2.51,2.3,0.389,0.258,0.108,0.92,0.27,0.823,0.006,0.139,0.832,0.021,0.799,0.607
2019,6,06M468,High School for Health Careers and Sciences,427.5,415.2,0.099,0.173,423,2.48,2.26,0.411,0.184,0.007,0.92,0.246,0.811,0.019,0.149,0.811,0.012,0.887,0.285
2019,6,06M540,A. Philip Randolph Campus High School,479.4,484.9,0.262,0.485,1503,2.85,2.66,0.142,0.156,0.019,0.86,0.152,0.77,0.055,0.277,0.633,0.023,0.857,0.417
2019,6,06M552,Gregorio Luperon High School for Science and Mathe,417.4,405.4,0.049,0.097,521,2,2.13,0.781,0.023,0.004,0.99,0.418,0.781,,,1,,0.915,0.222
2019,7,07X221,South Bronx Preparatory: A College Board School,437,436.8,0.101,0.247,389,2.81,2.56,0.054,0.239,,0.92,0.111,0.825,0.018,0.257,0.704,0.015,0.923,0.204
2019,7,07X223,The Laboratory School of Finance and Technology: X,497.6,491.4,0.365,0.506,368,3.08,3.24,0.063,0.182,,0.9,0.109,0.818,0.008,0.185,0.802,0.003,0.903,0.299
2019,7,07X259,"H.E.R.O. High (Health, Education, and Research Occ",420.9,433.3,0.064,0.245,530,2.71,2.45,0.1,0.208,0.008,0.87,0.192,0.768,0.015,0.389,0.572,0.008,0.851,0.413
2019,7,07X334,International Community High School,396.8,391.6,0.025,0.05,425,1.79,1.82,0.814,0.08,0.007,0.98,0.313,0.765,0.04,0.162,0.753,0.024,0.891,0.31
2019,7,07X427,Community School for Social Justice,411.9,430.4,0.042,0.197,327,2.42,2.13,0.205,0.257,0.018,0.92,0.205,0.85,,0.229,0.746,0.006,0.812,0.549
2019,7,07X473,Mott Haven Village Preparatory High School,416.9,419.8,0.013,0.152,315,2.41,2.06,0.2,0.317,0.013,0.93,0.162,0.857,0.013,0.251,0.698,0.013,0.767,0.603
2019,7,07X495,University Heights Secondary School,477.6,508.9,0.257,0.629,519,3.35,3.31,0.025,0.185,0.002,0.81,0.073,0.699,0.052,0.256,0.636,0.019,0.937,0.183
2019,7,07X500,Hostos-Lincoln Academy of Science,511.9,515.8,0.43,0.527,369,3.11,2.85,0.03,0.201,0.005,0.86,0.1,0.745,0.03,0.228,0.713,0.022,0.918,0.263
2019,7,07X522,Bronx Design and Construction Academy,430.3,415.1,0.061,0.092,452,2.52,2.35,0.168,0.294,0.053,0.88,0.201,0.774,0.002,0.277,0.681,0.018,0.807,0.494
2019,7,07X527,Bronx Leadership Academy II High School,451.3,434,0.136,0.197,511,2.53,2.29,0.131,0.278,0.033,0.92,0.184,0.851,0.008,0.266,0.706,0.012,0.853,0.486
2019,7,07X548,Careers in Sports High School,432.4,436,0.029,0.161,528,2.56,2.43,0.174,0.25,0.006,0.89,0.205,0.782,0.004,0.292,0.68,0.021,0.822,0.522
2019,7,07X551,The Urban Assembly Bronx Academy of Letters,415.4,433.2,0.075,0.225,336,2.51,2.09,0.119,0.28,0.086,0.93,0.143,0.845,0.012,0.295,0.664,0.027,0.807,0.622
2019,7,07X600,Alfred E. Smith Career and Technical Education Hig,414.7,422.4,0.039,0.165,455,2.42,2.21,0.193,0.279,0.04,0.89,0.182,0.804,0.004,0.215,0.754,0.015,0.863,0.497
2019,7,07X670,Health Opportunities High School,434.2,442.8,0.066,0.222,497,2.55,2.26,0.137,0.223,0.006,0.91,0.213,0.819,0.008,0.374,0.586,0.008,0.822,0.529
2019,8,08X269,Bronx Studio School for Writers and Artists,449.9,466.9,0.111,0.333,351,2.69,2.28,0.1,0.248,0.006,0.91,0.16,0.835,0.009,0.231,0.744,0.014,0.853,0.471
2019,8,08X282,Women's Academy of Excellence,439.2,443.9,0.109,0.266,248,2.48,2.17,0.214,0.202,,0.9,0.23,0.835,0.113,0.371,0.335,0.157,0.791,0.583
2019,8,08X293,Renaissance High School for Musical Theater and th,439.2,453.2,0.067,0.317,460,2.63,2.34,0.059,0.23,0.002,0.8,0.13,0.73,0.037,0.243,0.65,0.063,0.833,0.512
2019,8,08X312,Millennium Art Academy,423.2,443.6,0.068,0.252,422,2.76,2.37,0.066,0.251,0.002,0.82,0.154,0.725,0.014,0.275,0.673,0.024,0.835,0.508
2019,8,08X320,Pelham Lab High School,449.4,440.2,0.109,0.218,475,2.62,2.32,0.156,0.215,0.019,0.82,0.135,0.735,0.067,0.213,0.619,0.074,0.829,0.571
2019,8,08X348,Schuylerville Preparatory High School,428.4,443.1,0.082,0.286,360,2.64,2.34,0.144,0.225,0.008,0.78,0.103,0.694,0.058,0.283,0.558,0.083,0.833,0.538
2019,8,08X349,Bronx River High School,445.3,443.3,0.116,0.242,425,2.53,2.34,0.162,0.249,0.021,0.85,0.139,0.751,0.054,0.228,0.638,0.054,0.823,0.559
2019,8,08X367,"Archimedes Academy for Math, Science and Technolog",461.1,465.8,0.138,0.298,358,2.59,2.34,0.128,0.282,0.078,0.84,0.193,0.737,0.087,0.254,0.631,0.02,0.847,0.512
2019,8,08X376,Antonia Pantoja Preparatory Academy: A College Boa,427.1,447.1,0.033,0.295,233,2.55,2.1,0.155,0.305,0.009,0.87,0.223,0.773,0.077,0.197,0.691,0.013,0.826,0.577
2019,8,08X405,Herbert H. Lehman High School,471.8,457.9,0.17,0.258,794,2.76,2.52,0.128,0.247,0.074,0.8,0.113,0.724,0.144,0.27,0.476,0.093,0.852,0.436
2019,8,08X432,Bronx Bridges High School,408.7,390.8,0.032,0.074,329,1.96,1.97,0.839,0.116,0.003,0.98,0.261,0.802,0.128,0.046,0.766,0.036,0.845,0.557
2019,8,08X452,Gotham Collaborative High School,420.4,419.8,0.063,0.113,532,2.45,2.15,0.154,0.263,,0.91,0.207,0.838,0.092,0.305,0.585,0.009,0.797,0.567
2019,8,08X530,Longwood Preparatory Academy,410.2,413.9,0.039,0.118,342,2.39,2.07,0.175,0.292,0.003,0.91,0.222,0.833,0.009,0.345,0.623,0.012,0.825,0.517
2019,8,08X558,Westchester Square Academy,467.7,456.7,0.242,0.322,554,2.78,2.51,0.096,0.206,0.002,0.75,0.121,0.65,0.065,0.244,0.569,0.112,0.816,0.499
2019,8,08X559,School for Tourism and Hospitality,427.2,419.8,0.048,0.086,299,2.39,2.1,0.247,0.294,0.007,0.94,0.291,0.849,0.007,0.308,0.656,0.02,0.7,0.718
2019,8,08X561,Bronx Compass High School,430.4,445.6,0.069,0.208,381,2.66,2.4,0.108,0.234,0.021,0.87,0.178,0.793,0.042,0.281,0.638,0.021,0.836,0.559
